"vehicle_make_name","Frequency","sas_yr_of_crsh","sas_mnth_of_crsh"
"","631","2015","Jan"
"","471","2015","Feb"
"","523","2015","Mar"
"","453","2015","Apr"
"","476","2015","May"
"","554","2015","Jun"
"","528","2015","Jul"
"","542","2015","Aug"
"","662","2015","Sep"
"","750","2015","Oct"
"","714","2015","Nov"
"","760","2015","Dec"
"","597","2016","Jan"
"","569","2016","Feb"
"","575","2016","Mar"
"","549","2016","Apr"
"","578","2016","May"
"","566","2016","Jun"
"","522","2016","Jul"
"","671","2016","Aug"
"","666","2016","Sep"
"","832","2016","Oct"
"","780","2016","Nov"
"","756","2016","Dec"
"Acura","45","2015","Jan"
"Acura","50","2015","Feb"
"Acura","54","2015","Mar"
"Acura","37","2015","Apr"
"Acura","49","2015","May"
"Acura","53","2015","Jun"
"Acura","43","2015","Jul"
"Acura","43","2015","Aug"
"Acura","54","2015","Sep"
"Acura","47","2015","Oct"
"Acura","47","2015","Nov"
"Acura","37","2015","Dec"
"Acura","53","2016","Jan"
"Acura","36","2016","Feb"
"Acura","67","2016","Mar"
"Acura","54","2016","Apr"
"Acura","47","2016","May"
"Acura","28","2016","Jun"
"Acura","42","2016","Jul"
"Acura","46","2016","Aug"
"Acura","58","2016","Sep"
"Acura","57","2016","Oct"
"Acura","51","2016","Nov"
"Acura","40","2016","Dec"
"AM General","7","2015","Jan"
"AM General","11","2015","Feb"
"AM General","5","2015","Apr"
"AM General","10","2015","May"
"AM General","6","2015","Jun"
"AM General","8","2015","Jul"
"AM General","1","2015","Sep"
"AM General","4","2015","Oct"
"AM General","6","2015","Nov"
"AM General","1","2015","Dec"
"AM General","2","2016","Jan"
"AM General","7","2016","Feb"
"AM General","2","2016","Mar"
"AM General","11","2016","Apr"
"AM General","16","2016","May"
"AM General","3","2016","Jun"
"AM General","4","2016","Jul"
"AM General","1","2016","Aug"
"AM General","10","2016","Sep"
"AM General","11","2016","Oct"
"AM General","3","2016","Nov"
"AM General","27","2016","Dec"
"American Motors","1","2015","Feb"
"American Motors","3","2015","Sep"
"American Motors","2","2015","Dec"
"American Motors","1","2016","Feb"
"American Motors","2","2016","Jun"
"American Motors","1","2016","Dec"
"Audi","14","2015","Jan"
"Audi","7","2015","Feb"
"Audi","10","2015","Mar"
"Audi","14","2015","Apr"
"Audi","34","2015","May"
"Audi","13","2015","Jun"
"Audi","20","2015","Jul"
"Audi","17","2015","Aug"
"Audi","15","2015","Sep"
"Audi","16","2015","Oct"
"Audi","30","2015","Nov"
"Audi","14","2015","Dec"
"Audi","37","2016","Jan"
"Audi","15","2016","Feb"
"Audi","8","2016","Mar"
"Audi","30","2016","Apr"
"Audi","21","2016","May"
"Audi","21","2016","Jun"
"Audi","12","2016","Jul"
"Audi","14","2016","Aug"
"Audi","24","2016","Sep"
"Audi","26","2016","Oct"
"Audi","24","2016","Nov"
"Audi","25","2016","Dec"
"Austin/Austin Healey","1","2015","Sep"
"Bluebird","75","2015","Jan"
"Bluebird","1","2015","Mar"
"Bluebird","4","2015","Apr"
"Bluebird","1","2015","May"
"Bluebird","1","2015","Jun"
"Bluebird","1","2015","Jul"
"Bluebird","9","2015","Aug"
"Bluebird","13","2015","Sep"
"Bluebird","8","2015","Oct"
"Bluebird","1","2015","Nov"
"Bluebird","1","2015","Dec"
"Bluebird","5","2016","Jan"
"Bluebird","40","2016","Feb"
"Bluebird","2","2016","Apr"
"Bluebird","2","2016","May"
"Bluebird","5","2016","Jun"
"Bluebird","34","2016","Jul"
"Bluebird","10","2016","Aug"
"Bluebird","2","2016","Sep"
"Bluebird","19","2016","Oct"
"Bluebird","5","2016","Nov"
"Bluebird","1","2016","Dec"
"BMW","60","2015","Jan"
"BMW","33","2015","Feb"
"BMW","48","2015","Mar"
"BMW","55","2015","Apr"
"BMW","50","2015","May"
"BMW","69","2015","Jun"
"BMW","57","2015","Jul"
"BMW","66","2015","Aug"
"BMW","59","2015","Sep"
"BMW","68","2015","Oct"
"BMW","62","2015","Nov"
"BMW","81","2015","Dec"
"BMW","46","2016","Jan"
"BMW","55","2016","Feb"
"BMW","50","2016","Mar"
"BMW","53","2016","Apr"
"BMW","59","2016","May"
"BMW","67","2016","Jun"
"BMW","91","2016","Jul"
"BMW","71","2016","Aug"
"BMW","63","2016","Sep"
"BMW","65","2016","Oct"
"BMW","61","2016","Nov"
